#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      1.63e+02      8.37e-01      1.62e+00      2.63e-01    5.7e-04
 164000      3.59e+01      2.24e-02      3.04e-01      1.07e+00    5.7e-04
 166000      1.42e+02      1.50e+00      1.42e+00      6.61e-01    5.7e-04
 168000      2.65e+01      2.49e-01      2.59e-01      3.28e-01    5.6e-04
 170000      4.20e+01      1.92e+00      3.67e-01      1.49e+00    5.6e-04
 172000      3.19e+01      2.99e-01      2.71e-01      1.33e+00    5.6e-04
 174000      3.52e+02      1.93e+00      3.52e+00      6.81e-01    5.5e-04
 176000      4.94e+01      1.78e+00      4.69e-01      6.47e-01    5.5e-04
 178000      4.49e+01      4.13e-01      4.41e-01      4.47e-01    5.4e-04
 180000      2.54e+01      1.90e-01      2.43e-01      4.08e-01    5.4e-04
 182000      6.54e+01      6.81e-01      6.49e-01      3.82e-01    5.4e-04
 184000      3.57e+01      1.11e-01      3.55e-01      2.61e-01    5.3e-04
 186000      1.11e+02      1.21e-01      8.16e-01      4.22e+00    5.3e-04
 188000      3.94e+01      8.66e-03      3.86e-01      4.39e-01    5.3e-04
 190000      4.14e+02      2.24e+00      1.13e+00      2.23e+01    5.2e-04
 192000      2.67e+01      4.41e-02      2.56e-01      4.15e-01    5.2e-04
 194000      5.75e+01      1.16e+00      5.05e-01      1.49e+00    5.2e-04
 196000      2.52e+01      2.00e-01      2.45e-01      4.59e-01    5.1e-04
 198000      8.27e+01      8.95e-01      8.24e-01      4.86e-01    5.1e-04
 200000      7.43e+01      7.90e-01      4.58e-01      3.26e+00    5.0e-04
 202000      3.26e+01      4.92e-01      3.24e-01      1.64e-01    5.0e-04
 204000      1.00e+02      1.14e+00      9.57e-01      1.59e+00    5.0e-04
 206000      1.04e+02      5.01e-01      1.04e+00      3.95e-01    4.9e-04
 208000      5.77e+01      8.04e-01      5.75e-01      2.64e-01    4.9e-04
 210000      2.98e+01      1.99e-01      2.80e-01      5.71e-01    4.9e-04
 212000      7.71e+00      2.34e-01      4.32e-02      3.49e-01    4.8e-04
 214000      1.18e+02      9.92e-01      1.17e+00      3.44e-01    4.8e-04
 216000      3.67e+01      1.40e+00      2.69e-01      1.30e+00    4.8e-04
 218000      1.92e+01      5.83e-02      1.92e-01      1.11e-01    4.7e-04
 220000      2.80e+01      1.03e+00      1.39e-01      1.32e+00    4.7e-04
 222000      2.25e+01      1.41e+00      1.99e-01      3.79e-01    4.7e-04
 224000      4.90e+01      1.63e-01      4.86e-01      5.31e-01    4.6e-04
 226000      3.53e+01      5.53e-01      3.52e-01      1.07e-01    4.6e-04
 228000      4.68e+01      2.29e+00      3.95e-01      1.85e+00    4.6e-04
 230000      2.48e+01      6.24e-02      2.35e-01      6.30e-01    4.6e-04
 232000      6.69e+01      8.90e-01      6.44e-01      1.42e+00    4.5e-04
 234000      2.14e+01      3.66e-01      2.13e-01      1.61e-01    4.5e-04
 236000      6.34e+01      7.45e-01      6.25e-01      5.40e-01    4.5e-04
 238000      6.31e+01      5.44e-01      6.07e-01      9.43e-01    4.4e-04
 240000      4.14e+01      6.84e-01      3.00e-01      2.24e+00    4.4e-04
 242000      3.54e+01      4.37e-01      3.50e-01      2.65e-01    4.4e-04
 244000      3.12e+02      1.91e+00      2.84e+00      1.02e+01    4.3e-04
 246000      1.13e+02      1.02e+00      1.08e+00      1.82e+00    4.3e-04
 248000      7.28e+01      3.05e-01      7.26e-01      2.75e-01    4.3e-04
 250000      2.76e+01      1.64e-01      2.26e-01      8.70e-01    4.3e-04
 252000      7.30e+01      1.22e-01      7.27e-01      3.77e-01    4.2e-04
 254000      4.70e+01      7.88e-01      2.05e-01      2.35e+00    4.2e-04
 256000      4.06e+01      2.73e-01      3.98e-01      4.10e-01    4.2e-04
 258000      1.90e+01      8.69e-02      1.27e-01      7.88e-01    4.1e-04
 260000      9.30e+01      2.12e+00      9.09e-01      8.59e-01    4.1e-04
 262000      1.88e+01      3.78e-02      1.20e-01      1.15e+00    4.1e-04
 264000      2.78e+01      4.88e-01      2.68e-01      5.45e-01    4.1e-04
 266000      3.74e+01      3.07e-02      3.72e-01      3.58e-01    4.0e-04
 268000      1.85e+02      3.99e-01      1.82e+00      1.88e+00    4.0e-04
 270000      4.71e+01      1.11e-01      2.46e-01      2.24e+00    4.0e-04
 272000      8.95e+01      4.31e-01      8.91e-01      4.96e-01    3.9e-04
 274000      1.18e+02      1.11e+00      1.14e+00      1.78e+00    3.9e-04
