#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      3.60e+00      2.07e-01      3.42e-02      6.25e-02    5.7e-04
 164000      1.10e+01      1.88e-01      1.07e-01      1.39e-01    5.7e-04
 166000      2.24e+01      1.09e-01      2.07e-01      6.84e-01    5.7e-04
 168000      8.44e+00      4.40e-02      8.41e-02      3.53e-02    5.6e-04
 170000      6.84e+00      1.97e-02      6.78e-02      5.04e-02    5.6e-04
 172000      5.24e+00      3.19e-02      4.96e-02      1.33e-01    5.6e-04
 174000      1.40e+01      1.30e-01      1.19e-01      4.11e-01    5.5e-04
 176000      2.33e+01      2.11e-01      2.31e-01      2.44e-01    5.5e-04
 178000      1.41e+01      6.11e-02      1.35e-01      2.25e-01    5.4e-04
 180000      8.98e+00      3.37e-02      8.96e-02      4.20e-02    5.4e-04
 182000      2.55e+01      1.96e-01      2.55e-01      1.34e-02    5.4e-04
 184000      3.81e+00      7.35e-03      3.38e-02      9.91e-02    5.3e-04
 186000      1.19e+01      1.29e-01      1.15e-01      2.34e-01    5.3e-04
 188000      1.29e+01      3.81e-01      1.05e-01      6.07e-01    5.3e-04
 190000      8.23e+00      1.29e-03      8.23e-02      1.41e-02    5.2e-04
 192000      1.08e+01      1.77e-01      1.07e-01      1.40e-01    5.2e-04
 194000      2.27e+01      2.53e-01      1.76e-01      7.96e-01    5.2e-04
 196000      4.97e+00      2.26e-02      4.94e-02      4.30e-02    5.1e-04
 198000      2.28e+00      6.88e-02      2.24e-02      2.66e-02    5.1e-04
 200000      5.81e+00      1.00e-01      5.79e-02      2.89e-02    5.0e-04
 202000      8.95e+00      2.40e-02      8.93e-02      3.42e-02    5.0e-04
 204000      5.84e+01      6.41e-02      5.70e-01      9.97e-01    5.0e-04
 206000      8.72e+00      1.64e-01      5.76e-02      5.15e-01    4.9e-04
 208000      1.08e+01      5.28e-02      1.08e-01      3.96e-02    4.9e-04
