#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      2.40e+01      4.26e-01      7.91e-02      1.79e+00    5.7e-04
 164000      1.61e+02      1.90e-01      1.61e+00      3.92e-01    5.7e-04
 166000      2.39e+01      7.22e-02      2.32e-01      4.50e-01    5.7e-04
 168000      1.97e+01      4.09e-02      1.81e-01      3.55e-01    5.6e-04
 170000      8.66e+00      1.84e-02      8.55e-02      1.06e-01    5.6e-04
 172000      4.94e+00      2.13e-01      3.04e-02      3.00e-01    5.6e-04
 174000      4.04e+01      6.54e-01      1.61e-01      2.06e+00    5.5e-04
 176000      1.61e+01      8.29e-02      1.60e-01      6.18e-02    5.5e-04
 178000      5.84e+00      1.43e-01      5.58e-02      6.54e-02    5.4e-04
 180000      5.84e+00      9.74e-03      5.68e-02      6.18e-02    5.4e-04
 182000      4.99e+00      1.50e-02      4.93e-02      4.19e-02    5.4e-04
 184000      1.06e+01      2.83e-02      5.30e-02      5.14e-01    5.3e-04
 186000      9.11e+00      1.99e-01      8.25e-02      3.00e-01    5.3e-04
 188000      1.17e+01      6.62e-03      1.10e-01      3.29e-01    5.3e-04
 190000      1.36e+01      4.45e-02      1.33e-01      1.53e-01    5.2e-04
 192000      1.04e+01      1.26e-01      1.00e-01      2.20e-01    5.2e-04
 194000      1.33e+01      7.92e-02      1.27e-01      1.78e-01    5.2e-04
 196000      4.48e+01      1.04e+00      3.38e-01      1.58e+00    5.1e-04
 198000      2.65e+01      3.42e-02      2.26e-01      1.10e+00    5.1e-04
 200000      1.33e+02      5.66e+00      1.07e+00      3.13e+00    5.0e-04
 202000      4.02e+01      5.67e-02      1.84e-01      2.00e+00    5.0e-04
 204000      3.83e+01      3.66e-01      3.53e-01      6.73e-01    5.0e-04
 206000      2.26e+01      4.34e-02      1.87e-01      7.11e-01    4.9e-04
 208000      7.00e+00      9.18e-02      5.80e-02      2.17e-01    4.9e-04
 210000      9.16e+00      3.36e-02      8.13e-02      1.92e-01    4.9e-04
 212000      6.74e+00      4.37e-02      6.69e-02      3.97e-02    4.8e-04
 214000      3.84e+00      3.50e-02      3.82e-02      2.13e-02    4.8e-04
 216000      2.84e+01      1.61e+00      2.42e-01      6.65e-01    4.8e-04
 218000      4.65e+00      1.11e-02      3.92e-02      1.40e-01    4.7e-04
 220000      9.00e+00      1.46e-02      7.76e-02      2.08e-01    4.7e-04
 222000      1.09e+01      5.06e-02      9.52e-02      2.95e-01    4.7e-04
 224000      5.34e+00      7.72e-02      4.82e-02      1.80e-01    4.6e-04
 226000      2.08e+01      1.96e-01      1.99e-01      2.61e-01    4.6e-04
 228000      2.30e+01      4.26e-01      1.30e-01      1.05e+00    4.6e-04
 230000      6.35e+01      1.78e+00      4.70e-01      2.33e+00    4.6e-04
 232000      5.88e+01      1.53e-01      5.84e-01      3.26e-01    4.5e-04
 234000      5.64e+01      3.20e-01      5.57e-01      3.80e-01    4.5e-04
 236000      1.14e+01      2.57e-01      1.11e-01      1.11e-01    4.5e-04
 238000      3.12e+01      7.61e-02      1.18e-01      2.29e+00    4.4e-04
 240000      2.65e+01      8.28e-02      2.65e-01      2.11e-02    4.4e-04
 242000      6.59e+01      1.27e-01      6.59e-01      4.03e-02    4.4e-04
 244000      2.29e+01      3.52e-02      2.27e-01      1.62e-01    4.3e-04
 246000      2.61e+01      2.20e-01      1.89e-01      1.43e+00    4.3e-04
 248000      2.08e+01      3.04e-01      1.67e-01      6.81e-01    4.3e-04
 250000      7.27e+01      1.27e+00      7.18e-01      4.90e-01    4.3e-04
 252000      3.59e+01      1.73e-01      3.48e-01      7.08e-01    4.2e-04
 254000      4.28e+01      7.09e-01      3.84e-01      1.03e+00    4.2e-04
 256000      1.39e+01      1.31e-01      1.35e-01      2.79e-01    4.2e-04
 258000      5.33e+01      6.00e-01      5.09e-01      7.01e-01    4.1e-04
 260000      1.16e+01      1.10e-02      1.13e-01      1.56e-01    4.1e-04
 262000      1.49e+01      2.04e-01      1.42e-01      3.59e-01    4.1e-04
 264000      2.34e+01      2.56e-02      1.92e-01      1.05e+00    4.1e-04
 266000      3.48e+00      4.06e-02      2.88e-02      1.08e-01    4.0e-04
 268000      2.99e+01      1.12e-01      2.64e-01      7.91e-01    4.0e-04
 270000      1.80e+01      2.06e-01      1.57e-01      4.88e-01    4.0e-04
 272000      1.48e+01      1.59e-01      1.42e-01      3.15e-01    3.9e-04
 274000      3.58e+01      2.87e-02      3.00e-01      1.55e+00    3.9e-04
 276000      1.52e+01      7.00e-03      1.51e-01      7.73e-02    3.9e-04
 278000      5.38e+01      1.81e-01      4.91e-01      1.00e+00    3.9e-04
 280000      4.85e+01      2.31e-01      4.64e-01      7.99e-01    3.8e-04
 282000      1.94e+01      2.95e-01      1.40e-01      7.32e-01    3.8e-04
 284000      5.19e+01      4.51e-01      4.74e-01      9.51e-01    3.8e-04
 286000      4.67e+00      2.05e-01      3.14e-02      1.82e-01    3.8e-04
 288000      1.20e+01      1.06e-01      1.17e-01      1.87e-01    3.7e-04
 290000      1.32e+01      8.60e-02      1.18e-01      2.67e-01    3.7e-04
 292000      2.01e+01      8.97e-02      4.94e-02      1.09e+00    3.7e-04
 294000      5.07e+01      3.25e-01      4.75e-01      7.95e-01    3.7e-04
 296000      3.07e+01      3.42e-01      2.81e-01      5.53e-01    3.6e-04
 298000      9.65e+01      4.74e-01      9.38e-01      1.27e+00    3.6e-04
 300000      1.56e+01      3.07e-02      1.38e-01      4.08e-01    3.6e-04
 302000      2.33e+01      4.79e-01      1.17e-01      1.11e+00    3.6e-04
 304000      9.83e+00      2.23e-01      9.71e-02      1.18e-02    3.5e-04
 306000      9.04e+00      8.63e-02      8.90e-02      8.45e-02    3.5e-04
 308000      1.19e+01      7.53e-02      1.16e-01      1.57e-01    3.5e-04
 310000      2.18e+01      1.05e-01      2.01e-01      4.71e-01    3.5e-04
 312000      3.35e+01      4.40e-01      3.11e-02      1.83e+00    3.4e-04
 314000      1.19e+01      7.60e-02      1.07e-01      2.31e-01    3.4e-04
 316000      1.81e+01      3.75e-02      1.63e-01      6.07e-01    3.4e-04
 318000      8.49e+00      1.82e-02      8.13e-02      1.11e-01    3.4e-04
 320000      1.23e+01      1.18e-01      7.46e-02      5.37e-01    3.3e-04
 322000      6.69e+00      1.91e-01      3.81e-02      2.97e-01    3.3e-04
 324000      2.53e+01      7.12e-02      2.49e-01      1.97e-01    3.3e-04
 326000      1.23e+01      2.40e-01      1.20e-01      9.30e-02    3.3e-04
 328000      1.16e+01      2.33e-02      1.12e-01      1.25e-01    3.3e-04
 330000      1.31e+01      5.96e-01      1.21e-01      1.98e-01    3.2e-04
 332000      5.17e+01      2.09e-01      5.15e-01      2.43e-01    3.2e-04
 334000      1.26e+01      3.25e-02      7.49e-02      5.55e-01    3.2e-04
 336000      3.93e+01      4.33e-02      3.67e-01      6.34e-01    3.2e-04
 338000      4.29e+01      2.25e-01      4.28e-01      1.22e-01    3.1e-04
 340000      2.87e+01      3.43e-01      2.82e-01      2.03e-01    3.1e-04
 342000      9.93e+00      4.82e-02      9.60e-02      1.41e-01    3.1e-04
 344000      1.27e+01      2.84e-01      1.09e-01      3.53e-01    3.1e-04
 346000      1.92e+01      1.11e-01      1.66e-01      4.44e-01    3.1e-04
 348000      2.19e+01      6.27e-02      2.19e-01      8.13e-02    3.0e-04
 350000      2.65e+01      7.72e-02      2.59e-01      4.47e-01    3.0e-04
 352000      6.42e+00      6.60e-02      6.40e-02      1.79e-02    3.0e-04
 354000      2.15e+01      2.87e-02      1.38e-01      1.30e+00    3.0e-04
 356000      1.77e+01      3.39e-02      1.46e-01      5.58e-01    3.0e-04
 358000      8.60e+00      1.77e-01      8.39e-02      9.01e-02    2.9e-04
 360000      8.74e+00      7.69e-02      6.56e-02      3.17e-01    2.9e-04
 362000      1.00e+01      1.35e-02      9.99e-02      3.03e-02    2.9e-04
 364000      7.30e+00      9.31e-02      7.03e-02      1.05e-01    2.9e-04
 366000      1.08e+01      4.21e-02      1.06e-01      1.14e-01    2.9e-04
 368000      8.47e+00      7.36e-02      8.29e-02      1.32e-01    2.8e-04
 370000      1.55e+01      3.77e-02      9.12e-02      7.02e-01    2.8e-04
 372000      1.02e+01      6.65e-01      9.47e-02      2.00e-02    2.8e-04
 374000      3.57e+01      3.51e-02      3.51e-01      3.89e-01    2.8e-04
 376000      3.58e+01      3.08e-01      3.39e-01      6.29e-01    2.8e-04
 378000      1.24e+01      5.95e-02      1.11e-01      2.57e-01    2.7e-04
 380000      2.59e+01      5.68e-01      1.83e-01      1.01e+00    2.7e-04
 382000      3.65e+01      1.24e-01      3.65e-01      1.40e-01    2.7e-04
 384000      1.25e+01      8.33e-02      7.88e-02      5.41e-01    2.7e-04
 386000      1.21e+01      7.94e-02      1.17e-01      2.34e-01    2.7e-04
 388000      7.31e+00      9.17e-02      6.78e-02      1.21e-01    2.7e-04
 390000      2.05e+01      6.60e-01      1.93e-01      3.14e-01    2.6e-04
 392000      9.03e+00      3.05e-02      8.55e-02      1.63e-01    2.6e-04
 394000      8.44e+00      8.07e-02      6.19e-02      3.19e-01    2.6e-04
 396000      7.90e+00      4.14e-02      6.56e-02      3.47e-01    2.6e-04
 398000      1.62e+01      1.70e-01      1.61e-01      1.65e-01    2.6e-04
 400000      1.07e+01      1.48e-01      6.61e-02      4.59e-01    2.5e-04
 402000      6.15e+00      1.18e-01      4.67e-02      2.21e-01    2.5e-04
 404000      2.00e+01      5.88e-03      2.00e-01      5.18e-02    2.5e-04
 406000      9.70e+00      2.94e-02      9.63e-02      8.80e-02    2.5e-04
 408000      1.82e+01      8.25e-02      1.81e-01      9.51e-02    2.5e-04
 410000      1.64e+01      1.12e-01      1.62e-01      1.54e-01    2.5e-04
 412000      1.77e+01      7.15e-01      1.43e-01      7.96e-01    2.4e-04
 414000      1.11e+01      1.07e-02      1.04e-01      1.80e-01    2.4e-04
 416000      1.91e+01      3.31e-01      1.87e-01      1.46e-01    2.4e-04
 418000      3.86e+00      1.69e-02      2.11e-02      2.56e-01    2.4e-04
 420000      1.74e+01      2.90e-01      1.63e-01      3.35e-01    2.4e-04
 422000      5.83e+00      4.44e-02      5.39e-02      1.75e-01    2.4e-04
 424000      6.83e+00      5.93e-02      5.44e-02      3.27e-01    2.3e-04
 426000      2.84e+01      6.38e-02      2.70e-01      6.97e-01    2.3e-04
 428000      1.27e+01      4.29e-02      1.26e-01      9.30e-02    2.3e-04
 430000      1.70e+02      2.22e-01      1.69e+00      1.32e-01    2.3e-04
 432000      8.71e+00      7.46e-02      8.29e-02      1.48e-01    2.3e-04
 434000      1.74e+01      7.18e-02      1.22e-01      6.93e-01    2.3e-04
 436000      4.66e+00      6.88e-02      2.93e-02      2.85e-01    2.3e-04
 438000      6.30e+00      2.60e-01      6.12e-02      1.85e-02    2.2e-04
 440000      9.62e+00      5.98e-02      8.95e-02      1.96e-01    2.2e-04
 442000      1.96e+01      3.11e-02      1.71e-01      5.27e-01    2.2e-04
 444000      4.27e+00      1.24e-01      4.20e-02      4.77e-02    2.2e-04
 446000      5.12e+00      1.44e-01      4.88e-02      1.12e-01    2.2e-04
 448000      8.76e+00      6.93e-02      7.17e-02      2.80e-01    2.2e-04
 450000      7.12e+00      4.33e-01      4.33e-02      2.79e-01    2.1e-04
 452000      1.78e+01      1.22e-02      1.78e-01      3.28e-02    2.1e-04
 454000      1.63e+01      2.12e-01      1.07e-01      6.86e-01    2.1e-04
 456000      1.81e+01      5.89e-02      1.81e-01      5.20e-02    2.1e-04
 458000      9.63e+00      2.99e-01      9.12e-02      1.05e-01    2.1e-04
 460000      3.23e+01      1.06e+00      3.01e-01      4.05e-01    2.1e-04
 462000      1.52e+01      1.64e-01      1.42e-01      3.11e-01    2.1e-04
 464000      1.21e+01      3.26e-01      1.20e-01      5.69e-02    2.0e-04
 466000      2.39e+01      1.29e-01      2.14e-01      6.01e-01    2.0e-04
 468000      1.80e+01      5.63e-01      1.57e-01      4.59e-01    2.0e-04
 470000      2.11e+01      2.04e+00      1.06e-01      7.86e-01    2.0e-04
 472000      9.12e+01      9.53e-01      8.18e-01      1.84e+00    2.0e-04
 474000      2.20e+01      1.96e-02      2.18e-01      1.56e-01    2.0e-04
 476000      1.95e+01      3.47e-01      1.52e-01      6.74e-01    2.0e-04
 478000      1.15e+01      4.16e-01      9.19e-02      3.63e-01    2.0e-04
 480000      5.90e+01      2.37e-01      3.59e-01      3.70e+00    1.9e-04
 482000      5.98e+01      1.46e-01      5.77e-01      7.23e-01    1.9e-04
 484000      2.51e+01      1.27e-01      2.30e-01      5.69e-01    1.9e-04
 486000      1.96e+01      1.09e-01      1.84e-01      3.03e-01    1.9e-04
 488000      1.26e+01      2.87e-01      1.23e-01      1.10e-01    1.9e-04
 490000      9.64e+01      5.12e-01      9.36e-01      1.03e+00    1.9e-04
 492000      1.50e+01      6.77e-02      1.45e-01      2.20e-01    1.9e-04
 494000      7.44e+00      1.41e-01      6.58e-02      1.89e-01    1.8e-04
 496000      1.48e+01      4.27e-02      1.47e-01      1.01e-01    1.8e-04
 498000      1.17e+01      1.11e-02      1.14e-01      2.10e-01    1.8e-04
 500000      2.28e+01      2.96e-02      2.22e-01      2.83e-01    1.8e-04
 502000      4.64e+01      1.99e+00      3.88e-01      1.28e+00    1.8e-04
 504000      4.98e+01      7.87e-01      4.65e-01      1.39e+00    1.8e-04
 506000      1.71e+01      3.17e-01      1.69e-01      1.67e-01    1.8e-04
 508000      3.00e+01      7.45e-02      2.88e-01      4.52e-01    1.8e-04
 510000      9.83e+00      1.55e-01      9.54e-02      9.63e-02    1.7e-04
 512000      2.27e+01      5.40e-02      1.85e-01      1.03e+00    1.7e-04
 514000      1.62e+01      5.27e-02      1.47e-01      3.12e-01    1.7e-04
 516000      1.73e+01      1.61e-01      1.51e-01      6.77e-01    1.7e-04
 518000      6.37e+01      6.25e-01      4.52e-01      2.50e+00    1.7e-04
 520000      4.88e+01      1.39e-02      4.83e-01      3.42e-01    1.7e-04
 522000      6.81e+00      6.76e-01      4.89e-02      1.56e-01    1.7e-04
 524000      1.06e+01      1.40e-01      9.61e-02      2.48e-01    1.7e-04
 526000      1.61e+01      3.66e-01      1.59e-01      1.26e-01    1.7e-04
 528000      3.86e+01      3.64e-01      3.66e-01      6.77e-01    1.6e-04
 530000      2.53e+01      5.17e-02      2.43e-01      3.85e-01    1.6e-04
 532000      1.87e+01      2.98e-01      1.79e-01      2.19e-01    1.6e-04
 534000      1.42e+01      1.03e-02      1.30e-01      3.29e-01    1.6e-04
 536000      2.80e+01      8.05e-01      1.32e-01      1.34e+00    1.6e-04
 538000      1.32e+01      5.04e-01      9.41e-02      4.95e-01    1.6e-04
 540000      1.76e+01      3.04e-01      1.73e-01      1.23e-01    1.6e-04
 542000      8.99e+00      4.14e-02      7.12e-02      4.35e-01    1.6e-04
 544000      7.52e+01      2.97e-01      7.45e-01      5.52e-01    1.6e-04
