pDNP	psd	pDFT	Ele
0.772	0.034	0.926	Ag
0.61	0.0452	0.478	Al
0.659	0.045	0.413	Au
1.78	0.136	1.548	Co
1.071	0.038	1.142	Cu
1.349	0.068	2.086	Ge
1.076	0.178	0.729	I
0.08	0.02	0.01	Kr
0.603	0.025	0.476	Li
0.738	0.021	0.729	Mg
3.149	0.388	3.005	Mo
3.134	0.106	2.73	Nb
1.352	0.003	1.395	Ni
2.597	0.347	3.273	Os
0.395	0.133	0.501	Pb
1.037	0.024	0.867	Pd
1.136	0.131	1.056	Pt
2.925	0.143	3.387	Re
1.053	0.1	1.657	Sb
0.854	0.04	1.08	Sr
1.964	0.093	2.149	Ti
0.336	0.023	0.226	Zn
2.124	0.123	1.434	Zr








