#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      8.14e+00      7.79e-02      6.45e-02      3.92e-01    5.7e-04
 164000      1.65e+01      2.12e-02      1.63e-01      1.99e-01    5.7e-04
 166000      1.11e+01      5.03e-02      1.10e-01      7.19e-02    5.7e-04
 168000      2.19e+01      3.75e-01      2.17e-01      2.84e-01    5.6e-04
 170000      1.30e+01      1.28e-02      1.30e-01      3.91e-02    5.6e-04
 172000      3.21e+01      1.09e-01      3.20e-01      2.09e-01    5.6e-04
 174000      1.12e+01      1.71e-01      1.11e-01      1.03e-01    5.5e-04
 176000      1.77e+01      2.88e-04      1.69e-01      2.87e-01    5.5e-04
 178000      1.74e+01      7.14e-02      1.64e-01      3.19e-01    5.4e-04
 180000      1.79e+01      2.09e-01      1.69e-01      3.25e-01    5.4e-04
 182000      1.45e+01      6.43e-03      1.44e-01      1.19e-01    5.4e-04
 184000      2.10e+01      1.38e-01      2.10e-01      5.83e-02    5.3e-04
 186000      1.62e+01      1.02e-01      1.62e-01      4.79e-02    5.3e-04
 188000      1.64e+01      2.24e-01      1.35e-01      5.17e-01    5.3e-04
 190000      1.46e+01      4.89e-02      1.46e-01      5.74e-02    5.2e-04
 192000      8.55e+00      2.00e-02      7.96e-02      1.74e-01    5.2e-04
 194000      2.72e+01      2.98e-01      2.67e-01      4.08e-01    5.2e-04
 196000      2.13e+01      1.10e-02      2.13e-01      8.90e-02    5.1e-04
 198000      1.28e+01      1.43e-01      1.27e-01      6.02e-02    5.1e-04
 200000      7.18e+01      2.17e-01      7.11e-01      5.42e-01    5.0e-04
 202000      2.61e+01      8.93e-02      2.59e-01      2.58e-01    5.0e-04
 204000      9.64e+00      2.17e-01      6.53e-02      3.91e-01    5.0e-04
 206000      8.25e+00      2.78e-02      8.11e-02      8.23e-02    4.9e-04
 208000      8.49e+00      4.56e-02      7.92e-02      1.70e-01    4.9e-04
 210000      1.51e+01      6.37e-02      1.50e-01      8.69e-02    4.9e-04
 212000      1.50e+01      8.97e-02      1.48e-01      1.90e-01    4.8e-04
 214000      1.24e+01      5.54e-01      1.12e-01      5.62e-01    4.8e-04
 216000      2.11e+01      1.44e-01      2.09e-01      1.72e-01    4.8e-04
 218000      1.43e+01      1.83e-02      1.42e-01      9.38e-02    4.7e-04
 220000      1.57e+01      5.48e-02      1.56e-01      1.02e-01    4.7e-04
 222000      2.30e+01      2.43e-02      2.30e-01      8.84e-02    4.7e-04
 224000      1.95e+01      2.02e-01      1.81e-01      4.03e-01    4.6e-04
 226000      2.89e+01      9.41e-02      2.88e-01      1.80e-01    4.6e-04
 228000      2.38e+01      1.57e-01      2.36e-01      1.83e-01    4.6e-04
 230000      3.48e+01      2.11e-01      3.44e-01      3.95e-01    4.6e-04
 232000      3.49e+01      6.22e-02      3.48e-01      1.19e-01    4.5e-04
 234000      1.48e+01      2.61e-02      1.47e-01      8.85e-02    4.5e-04
 236000      1.18e+01      9.99e-03      1.17e-01      1.52e-01    4.5e-04
 238000      1.60e+01      4.18e-02      1.59e-01      6.47e-02    4.4e-04
 240000      9.53e+00      8.10e-02      9.35e-02      1.42e-01    4.4e-04
 242000      1.17e+01      1.82e-01      1.05e-01      2.86e-01    4.4e-04
 244000      4.20e+01      2.45e-01      4.17e-01      3.83e-01    4.3e-04
 246000      1.97e+01      1.76e-02      1.97e-01      7.43e-02    4.3e-04
 248000      1.29e+01      1.33e-02      1.27e-01      1.34e-01    4.3e-04
 250000      1.32e+01      1.78e-02      1.31e-01      9.81e-02    4.3e-04
 252000      3.13e+01      5.27e-01      3.03e-01      8.28e-01    4.2e-04
 254000      2.52e+01      6.74e-02      2.50e-01      1.83e-01    4.2e-04
 256000      8.51e+00      1.61e-01      8.06e-02      3.03e-01    4.2e-04
 258000      1.13e+01      3.88e-02      1.08e-01      2.41e-01    4.1e-04
 260000      1.48e+01      1.60e-02      1.46e-01      1.38e-01    4.1e-04
 262000      1.93e+01      2.89e-02      1.92e-01      1.20e-01    4.1e-04
 264000      2.18e+01      1.77e-02      2.18e-01      3.52e-02    4.1e-04
 266000      8.44e+00      2.13e-02      7.61e-02      2.04e-01    4.0e-04
 268000      2.00e+01      7.33e-02      1.92e-01      4.31e-01    4.0e-04
 270000      2.55e+01      1.37e-02      2.55e-01      1.02e-01    4.0e-04
 272000      8.83e+00      2.89e-02      8.59e-02      1.12e-01    3.9e-04
 274000      1.43e+01      4.93e-02      1.40e-01      1.50e-01    3.9e-04
 276000      1.23e+01      2.08e-02      1.22e-01      9.47e-02    3.9e-04
 278000      1.45e+01      9.05e-03      1.44e-01      9.02e-02    3.9e-04
 280000      3.39e+01      2.38e-02      3.38e-01      1.01e-01    3.8e-04
 282000      3.63e+01      5.06e-02      3.61e-01      1.94e-01    3.8e-04
 284000      1.81e+01      1.56e-01      1.80e-01      8.21e-02    3.8e-04
 286000      1.28e+01      6.46e-03      1.27e-01      7.64e-02    3.8e-04
 288000      2.13e+01      3.65e-01      2.07e-01      4.03e-01    3.7e-04
 290000      2.86e+01      9.72e-02      2.84e-01      2.55e-01    3.7e-04
 292000      1.41e+01      7.61e-02      1.33e-01      2.60e-01    3.7e-04
 294000      1.06e+01      8.05e-02      1.01e-01      1.66e-01    3.7e-04
 296000      3.21e+01      5.71e-02      3.16e-01      4.48e-01    3.6e-04
 298000      1.14e+01      1.14e-01      1.13e-01      1.35e-01    3.6e-04
 300000      1.01e+01      8.82e-02      8.73e-02      2.87e-01    3.6e-04
 302000      1.15e+01      2.46e-03      1.13e-01      1.51e-01    3.6e-04
 304000      2.29e+01      2.04e-01      2.17e-01      4.04e-01    3.5e-04
 306000      4.09e+00      4.99e-03      4.06e-02      4.22e-02    3.5e-04
 308000      1.41e+01      2.96e-02      1.39e-01      9.96e-02    3.5e-04
 310000      1.37e+01      5.73e-02      1.35e-01      1.36e-01    3.5e-04
 312000      2.77e+01      2.28e-02      2.76e-01      1.21e-01    3.4e-04
 314000      1.26e+01      3.84e-01      1.15e-01      2.50e-01    3.4e-04
 316000      1.52e+01      2.94e-02      1.49e-01      1.77e-01    3.4e-04
 318000      1.27e+01      5.47e-04      1.25e-01      1.62e-01    3.4e-04
 320000      1.45e+01      4.06e-02      1.45e-01      8.56e-02    3.3e-04
 322000      9.38e+00      5.50e-02      9.14e-02      1.16e-01    3.3e-04
 324000      1.10e+01      9.18e-02      1.09e-01      9.66e-02    3.3e-04
 326000      3.78e+01      7.44e-02      3.76e-01      2.87e-01    3.3e-04
 328000      1.14e+01      9.32e-02      1.14e-01      3.60e-02    3.3e-04
 330000      9.99e+00      2.56e-02      9.97e-02      4.26e-02    3.2e-04
 332000      1.33e+01      1.94e-02      1.33e-01      4.18e-02    3.2e-04
 334000      3.09e+01      1.15e-01      3.07e-01      1.63e-01    3.2e-04
 336000      1.17e+01      3.81e-02      1.17e-01      4.06e-02    3.2e-04
 338000      1.22e+01      2.60e-02      1.22e-01      8.60e-02    3.1e-04
 340000      1.79e+01      1.57e-02      1.78e-01      8.63e-02    3.1e-04
