#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      6.73e+01      5.51e-03      6.72e-01      2.55e-01    5.7e-04
 164000      9.28e+01      6.50e-01      9.13e-01      9.29e-01    5.7e-04
 166000      8.21e+01      2.73e-01      6.90e-01      2.48e+00    5.7e-04
 168000      5.89e+01      3.19e-01      5.85e-01      4.84e-01    5.6e-04
 170000      3.57e+01      2.88e-01      3.46e-01      7.04e-01    5.6e-04
 172000      7.35e+01      1.43e+00      7.21e-01      1.04e+00    5.6e-04
 174000      8.30e+01      2.13e-01      8.23e-01      5.89e-01    5.5e-04
 176000      7.33e+01      2.18e-01      7.30e-01      4.93e-01    5.5e-04
 178000      1.05e+02      3.68e-01      8.42e-01      3.50e+00    5.4e-04
 180000      6.05e+01      4.53e+00      4.58e-01      4.19e+00    5.4e-04
 182000      3.80e+01      3.90e-01      3.72e-01      4.27e-01    5.4e-04
 184000      4.35e+01      4.39e-01      4.34e-01      2.25e-01    5.3e-04
 186000      8.38e+01      1.20e-01      8.33e-01      6.54e-01    5.3e-04
 188000      4.72e+01      1.90e-01      4.62e-01      5.45e-01    5.3e-04
 190000      6.09e+01      2.52e-02      6.07e-01      3.14e-01    5.2e-04
 192000      4.70e+01      8.93e-01      4.51e-01      1.01e+00    5.2e-04
 194000      1.50e+02      9.75e-01      1.49e+00      2.65e-01    5.2e-04
 196000      8.35e+01      4.83e-01      8.35e-01      1.85e-01    5.1e-04
 198000      5.85e+01      6.73e-02      5.83e-01      3.60e-01    5.1e-04
 200000      3.05e+02      5.89e-01      3.03e+00      2.24e+00    5.0e-04
 202000      6.20e+01      1.30e-01      6.05e-01      7.55e-01    5.0e-04
 204000      4.46e+02      9.09e-01      4.43e+00      2.80e+00    5.0e-04
 206000      1.13e+02      1.29e-01      9.11e-01      5.28e+00    4.9e-04
 208000      3.37e+01      1.25e+00      3.15e-01      8.68e-01    4.9e-04
 210000      7.53e+01      3.23e-01      7.25e-01      1.14e+00    4.9e-04
 212000      5.53e+01      2.04e-01      5.42e-01      5.86e-01    4.8e-04
 214000      5.83e+01      1.82e-01      5.82e-01      3.79e-01    4.8e-04
 216000      6.32e+01      2.44e-01      6.19e-01      6.97e-01    4.8e-04
 218000      6.15e+01      1.80e-01      5.96e-01      1.20e+00    4.7e-04
 220000      8.06e+01      6.50e-01      5.66e-01      3.20e+00    4.7e-04
 222000      5.56e+01      1.15e-01      5.50e-01      4.51e-01    4.7e-04
 224000      6.11e+01      4.15e-02      6.04e-01      6.69e-01    4.6e-04
 226000      4.03e+01      2.51e-01      3.97e-01      3.89e-01    4.6e-04
 228000      6.48e+01      3.72e-01      5.64e-01      1.78e+00    4.6e-04
 230000      8.67e+01      5.14e-02      8.57e-01      1.03e+00    4.6e-04
 232000      1.30e+02      4.66e-01      1.28e+00      1.18e+00    4.5e-04
 234000      6.53e+01      1.66e-01      6.47e-01      6.69e-01    4.5e-04
 236000      5.06e+01      6.37e-02      4.88e-01      1.02e+00    4.5e-04
 238000      6.13e+01      4.81e-02      5.99e-01      9.87e-01    4.4e-04
 240000      1.52e+02      1.46e-01      1.51e+00      1.05e+00    4.4e-04
 242000      2.87e+02      3.26e-01      2.86e+00      1.32e+00    4.4e-04
 244000      5.04e+01      3.47e-01      4.50e-01      1.27e+00    4.3e-04
 246000      8.92e+01      1.68e-01      8.76e-01      9.27e-01    4.3e-04
 248000      6.63e+01      3.16e-03      6.41e-01      9.52e-01    4.3e-04
 250000      5.10e+01      8.32e-02      4.82e-01      1.29e+00    4.3e-04
 252000      6.68e+01      1.40e-01      6.66e-01      2.12e-01    4.2e-04
 254000      3.18e+01      1.28e-01      2.93e-01      6.84e-01    4.2e-04
 256000      7.11e+01      7.34e-01      6.75e-01      1.23e+00    4.2e-04
 258000      4.47e+01      1.38e-01      4.45e-01      3.73e-01    4.1e-04
 260000      4.09e+01      3.04e-02      4.07e-01      3.46e-01    4.1e-04
 262000      7.89e+01      2.49e-01      7.81e-01      6.38e-01    4.1e-04
 264000      5.56e+01      1.91e-02      5.55e-01      1.86e-01    4.1e-04
 266000      3.96e+01      2.65e-01      3.94e-01      2.40e-01    4.0e-04
 268000      6.27e+01      1.89e-01      5.71e-01      1.44e+00    4.0e-04
 270000      4.45e+01      1.70e-02      4.36e-01      5.01e-01    4.0e-04
